sentences/sentence/0/text,sentences/sentence/0/_id,sentences,aspects,polarity,sentences/sentence/1/_id,sentences,aspects,polarity,sentences/sentence/2/_id,sentences/sentence/3/text,sentences/sentence/3/Opinions/Opinion/0/_category,sentences/sentence/3/Opinions/Opinion/0/_polarity,sentences/sentence/3/Opinions/Opinion/1/_category,sentences/sentence/3/Opinions/Opinion/1/_polarity,sentences/sentence/3/_id,sentences/sentence/4/text,sentences/sentence/4/Opinions/Opinion/0/_category,sentences/sentence/4/Opinions/Opinion/0/_polarity,sentences/sentence/4/_id,sentences/sentence/5/text,sentences/sentence/5/Opinions/Opinion/0/_category,sentences/sentence/5/Opinions/Opinion/0/_polarity,sentences/sentence/5/Opinions/Opinion/1/_category,sentences/sentence/5/Opinions/Opinion/1/_polarity,sentences/sentence/5/_id,sentences/sentence/6/text,sentences/sentence/6/Opinions/Opinion/0/_category,sentences/sentence/6/Opinions/Opinion/0/_polarity,sentences/sentence/6/_id,sentences/sentence/7/text,sentences/sentence/7/_id,sentences/sentence/7/_OutOfScope,sentences/sentence/8/text,sentences/sentence/8/Opinions/Opinion/0/_category,sentences/sentence/8/Opinions/Opinion/0/_polarity,sentences/sentence/8/Opinions/Opinion/1/_category,sentences/sentence/8/Opinions/Opinion/1/_polarity,sentences/sentence/8/_id,_rid,sentences/sentence/0/Opinions/Opinion/0/_category,sentences/sentence/0/Opinions/Opinion/0/_polarity,sentences/sentence/0/Opinions/Opinion/1/_category,sentences/sentence/0/Opinions/Opinion/1/_polarity,sentences/sentence/2/Opinions/Opinion/1/_category,sentences/sentence/2/Opinions/Opinion/1/_polarity,sentences/sentence/0/_OutOfScope,sentences/sentence/1/Opinions/Opinion/1/_category,sentences/sentence/1/Opinions/Opinion/1/_polarity,sentences/sentence/1/Opinions/Opinion/2/_category,sentences/sentence/1/Opinions/Opinion/2/_polarity,sentences/sentence/2/Opinions/Opinion/2/_category,sentences/sentence/2/Opinions/Opinion/2/_polarity,sentences/sentence/7/Opinions/Opinion/0/_category,sentences/sentence/7/Opinions/Opinion/0/_polarity,sentences/sentence/9/text,sentences/sentence/9/Opinions/Opinion/0/_category,sentences/sentence/9/Opinions/Opinion/0/_polarity,sentences/sentence/9/_id,sentences/sentence/10/text,sentences/sentence/10/_id,sentences/sentence/11/text,sentences/sentence/11/Opinions/Opinion/0/_category,sentences/sentence/11/Opinions/Opinion/0/_polarity,sentences/sentence/11/_id,sentences/sentence/12/text,sentences/sentence/12/Opinions/Opinion/0/_category,sentences/sentence/12/Opinions/Opinion/0/_polarity,sentences/sentence/12/_id,sentences/sentence/13/text,sentences/sentence/13/Opinions/Opinion/0/_category,sentences/sentence/13/Opinions/Opinion/0/_polarity,sentences/sentence/13/_id,sentences/sentence/14/text,sentences/sentence/14/Opinions/Opinion/0/_category,sentences/sentence/14/Opinions/Opinion/0/_polarity,sentences/sentence/14/_id,sentences/sentence/15/text,sentences/sentence/15/Opinions/Opinion/0/_category,sentences/sentence/15/Opinions/Opinion/0/_polarity,sentences/sentence/15/_id,sentences/sentence/0/Opinions/Opinion/2/_category,sentences/sentence/0/Opinions/Opinion/2/_polarity,sentences/sentence/0/Opinions/Opinion/3/_category,sentences/sentence/0/Opinions/Opinion/3/_polarity,sentences/sentence/1/_OutOfScope,sentences/sentence/2/_OutOfScope,sentences/sentence/4/Opinions/Opinion/1/_category,sentences/sentence/4/Opinions/Opinion/1/_polarity,sentences/sentence/5/_OutOfScope,sentences/sentence/9/Opinions/Opinion/1/_category,sentences/sentence/9/Opinions/Opinion/1/_polarity,sentences/sentence/10/Opinions/Opinion/0/_category,sentences/sentence/10/Opinions/Opinion/0/_polarity,sentences/sentence/6/_OutOfScope,sentences/sentence/3/_OutOfScope,sentences/sentence/3/Opinions/Opinion/2/_category,sentences/sentence/3/Opinions/Opinion/2/_polarity,sentences/sentence/4/Opinions/Opinion/2/_category,sentences/sentence/4/Opinions/Opinion/2/_polarity,sentences/sentence/10/Opinions/Opinion/1/_category,sentences/sentence/10/Opinions/Opinion/1/_polarity,sentences/sentence/10/Opinions/Opinion/2/_category,sentences/sentence/10/Opinions/Opinion/2/_polarity,sentences/sentence/12/Opinions/Opinion/1/_category,sentences/sentence/12/Opinions/Opinion/1/_polarity,sentences/sentence/13/Opinions/Opinion/1/_category,sentences/sentence/13/Opinions/Opinion/1/_polarity,sentences/sentence/1/Opinions/Opinion/3/_category,sentences/sentence/1/Opinions/Opinion/3/_polarity,sentences/sentence/6/Opinions/Opinion/1/_category,sentences/sentence/6/Opinions/Opinion/1/_polarity,sentences/sentence/7/Opinions/Opinion/1/_category,sentences/sentence/7/Opinions/Opinion/1/_polarity,sentences/sentence/11/Opinions/Opinion/1/_category,sentences/sentence/11/Opinions/Opinion/1/_polarity,sentences/sentence/11/Opinions/Opinion/2/_category,sentences/sentence/11/Opinions/Opinion/2/_polarity,sentences/sentence/15/Opinions/Opinion/1/_category,sentences/sentence/15/Opinions/Opinion/1/_polarity,sentences/sentence/16/text,sentences/sentence/16/Opinions/Opinion/0/_category,sentences/sentence/16/Opinions/Opinion/0/_polarity,sentences/sentence/16/_id,sentences/sentence/17/text,sentences/sentence/17/_id,sentences/sentence/2/Opinions/Opinion/3/_category,sentences/sentence/2/Opinions/Opinion/3/_polarity,sentences/sentence/3/Opinions/Opinion/3/_category,sentences/sentence/3/Opinions/Opinion/3/_polarity,sentences/sentence/6/Opinions/Opinion/2/_category,sentences/sentence/6/Opinions/Opinion/2/_polarity,sentences/sentence/4/_OutOfScope,sentences/sentence/12/_OutOfScope,sentences/sentence/5/Opinions/Opinion/2/_category,sentences/sentence/5/Opinions/Opinion/2/_polarity,sentences/sentence/8/Opinions/Opinion/2/_category,sentences/sentence/8/Opinions/Opinion/2/_polarity,sentences/sentence/4/Opinions/Opinion/3/_category,sentences/sentence/4/Opinions/Opinion/3/_polarity,sentences/sentence/8/_OutOfScope,sentences/sentence/17/Opinions/Opinion/0/_category,sentences/sentence/17/Opinions/Opinion/0/_polarity,sentences/sentence/18/text,sentences/sentence/18/Opinions/Opinion/0/_category,sentences/sentence/18/Opinions/Opinion/0/_polarity,sentences/sentence/18/_id,sentences/sentence/19/text,sentences/sentence/19/Opinions/Opinion/0/_category,sentences/sentence/19/Opinions/Opinion/0/_polarity,sentences/sentence/19/_id,sentences/sentence/20/text,sentences/sentence/20/_id,sentences/sentence/21/text,sentences/sentence/21/Opinions/Opinion/0/_category,sentences/sentence/21/Opinions/Opinion/0/_polarity,sentences/sentence/21/_id,sentences/sentence/22/text,sentences/sentence/22/Opinions/Opinion/0/_category,sentences/sentence/22/Opinions/Opinion/0/_polarity,sentences/sentence/22/_id,sentences/sentence/23/text,sentences/sentence/23/_id,sentences/sentence/24/text,sentences/sentence/24/Opinions/Opinion/0/_category,sentences/sentence/24/Opinions/Opinion/0/_polarity,sentences/sentence/24/_id,sentences/sentence/25/text,sentences/sentence/25/Opinions/Opinion/0/_category,sentences/sentence/25/Opinions/Opinion/0/_polarity,sentences/sentence/25/Opinions/Opinion/1/_category,sentences/sentence/25/Opinions/Opinion/1/_polarity,sentences/sentence/25/_id,sentences/sentence/1/Opinions/Opinion/4/_category,sentences/sentence/1/Opinions/Opinion/4/_polarity,sentences/sentence/23/Opinions/Opinion/0/_category,sentences/sentence/23/Opinions/Opinion/0/_polarity,sentences/sentence/9/_OutOfScope,sentences/sentence/10/_OutOfScope,sentences/sentence/13/Opinions/Opinion/2/_category,sentences/sentence/13/Opinions/Opinion/2/_polarity,sentences/sentence/13/Opinions/Opinion/3/_category,sentences/sentence/13/Opinions/Opinion/3/_polarity,sentences/sentence/13/Opinions/Opinion/4/_category,sentences/sentence/13/Opinions/Opinion/4/_polarity,sentences/sentence/14/Opinions/Opinion/1/_category,sentences/sentence/14/Opinions/Opinion/1/_polarity,sentences/sentence/13/_OutOfScope,sentences/sentence/7/Opinions/Opinion/2/_category,sentences/sentence/7/Opinions/Opinion/2/_polarity,sentences/sentence/16/_OutOfScope,sentences/sentence/20/_OutOfScope,sentences/sentence/17/_OutOfScope,sentences/sentence/9/Opinions/Opinion/2/_category,sentences/sentence/9/Opinions/Opinion/2/_polarity,sentences/sentence/11/_OutOfScope,sentences/sentence/14/_OutOfScope,sentences/sentence/2/Opinions/Opinion/4/_category,sentences/sentence/2/Opinions/Opinion/4/_polarity
Being a PC user my whole life....,79:00:00,This computer is absolutely AMAZING!!!,LAPTOP#GENERAL,positive,79:01:00,10 plus hours of battery...,BATTERY#OPERATION_PERFORMANCE,positive,79:02:00,super fast processor and really nice graphics card..,CPU#OPERATION_PERFORMANCE,positive,GRAPHICS#GENERAL,positive,79:03:00,and plenty of storage with 250 gb(though I will upgrade this and the ram..),HARD_DISC#DESIGN_FEATURES,positive,79:04:00,This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP#USABILITY,positive,79:05:00,I've only had mine a day but I'm already used to it...,LAPTOP#USABILITY,positive,79:06:00,MACS ARE AMAZING!!!,79:07:00,1,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,LAPTOP#PORTABILITY,positive,CPU#OPERATION_PERFORMANCE,positive,79:08:00,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the laptop was really good and it goes really fast just the way i thought it would of run.,10:00,i would really recommend to any person out there to get this laptop cause its really worth it.,LAPTOP#GENERAL,positive,10:01,and its really cheap and you wont regret buying it.,LAPTOP#PRICE,positive,10:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,LAPTOP#GENERAL,positive,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP#GENERAL,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",264:00:00,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#PORTABILITY,positive,264:01:00,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#DESIGN_FEATURES,positive,264:02:00,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#MISCELLANEOUS,positive,LAPTOP#QUALITY,positive,264:03:00,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",OS#DESIGN_FEATURES,positive,264:04:00,,,,,,,,,,,,,,,,,,,,264,,,,,LAPTOP#PORTABILITY,positive,1,LAPTOP#QUALITY,positive,LAPTOP#USABILITY,positive,LAPTOP#MISCELLANEOUS,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oh my goodness-I am not a happy camper.,24:00:00,My HP is very heavy.,LAPTOP#DESIGN_FEATURES,negative,24:01:00,Not easy to carry.,LAPTOP#PORTABILITY,negative,24:02:00,The battery has never worked well.,BATTERY#QUALITY,negative,BATTERY#OPERATION_PERFORMANCE,negative,24:03:00,The battery gets so HOT it is scary.,BATTERY#QUALITY,negative,24:04:00,"Yet, HP won't do anything about the problem.",SUPPORT#QUALITY,negative,,,24:05:00,I returned the computer to HP and they kept it for 3 months.,SUPPORT#QUALITY,negative,24:06:00,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,24:07:00,,"So, you can imagine how unhappy I am with this item.",LAPTOP#GENERAL,negative,,,24:08:00,24,LAPTOP#GENERAL,negative,,,,,,,,,,,,SUPPORT#QUALITY,negative,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,LAPTOP#QUALITY,negative,24:09:00,I did contact HP and share how unhappy I am.,24:10:00,"Well, they don't care a bunch.",SUPPORT#QUALITY,negative,24:11:00,"But, at the same time they (the company) would not and could not do anything about my problem.",SUPPORT#QUALITY,negative,24:12:00,I would Â say if you want to buy one of these machines be careful.,LAPTOP#GENERAL,negative,24:13:00,"And, if you are going to deal with HP be careful.",COMPANY#GENERAL,negative,24:14:00,"In my house, HP is a nasty word.",COMPANY#GENERAL,negative,24:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",277:00:00,The netbook is easier for me to take to bed and carry around with me.,LAPTOP#PORTABILITY,positive,277:01:00,"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#USABILITY,neutral,277:02:00,I have not have any problems.,LAPTOP#GENERAL,positive,,,277:03:00,,,,,,,,,,,,,,,,,,,,,,,,277,LAPTOP#GENERAL,positive,,,DISPLAY#DESIGN_FEATURES,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",178:00:00,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,LAPTOP#QUALITY,positive,178:01:00,Its still going.,LAPTOP#QUALITY,positive,178:02:00,It is in the best condition and has a really high quality.,LAPTOP#QUALITY,positive,,,178:03:00,This is something i would deffinately reccomend to someone.,LAPTOP#GENERAL,positive,178:04:00,You will not regret buying such a great thing like this!,LAPTOP#GENERAL,positive,,,178:05:00,It can't get any better.,LAPTOP#GENERAL,positive,178:06:00,,,,,,,,,,178,LAPTOP#GENERAL,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waited on getting this computer, but it has been a great change.",77:00:00,Ease of use is just one of the benefits I love about my Mac.,LAPTOP#USABILITY,positive,77:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,LAPTOP#GENERAL,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This laptop meets every expectation and Windows 7 is great!,342:00:00,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#OPERATION_PERFORMANCE,positive,342:01:00,It's even easy to hook up to other wireless networks.,LAPTOP#CONNECTIVITY,positive,342:02:00,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,BATTERY#OPERATION_PERFORMANCE,neutral,,,342:03:00,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,BATTERY#OPERATION_PERFORMANCE,positive,342:04:00,,,,,,,,,,,,,,,,,,,,342,LAPTOP#GENERAL,positive,OS#GENERAL,positive,,,,LAPTOP#USABILITY,positive,LAPTOP#CONNECTIVITY,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Most everything is fine with this machine: speed, capacity, build.",348:00:00,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",DISPLAY#QUALITY,negative,348:01:00,"Yes, I have it on the highest available setting.",,,348:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,LAPTOP#GENERAL,positive,LAPTOP#OPERATION_PERFORMANCE,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARD_DISC#DESIGN_FEATURES,positive,LAPTOP#QUALITY,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I bought it for really cheap also and it's AMAZING.,347:00:00,Easy to start up and does not overheat as much as other laptops.,,,347:01:00,Recommended to people as their first laptop.,LAPTOP#MISCELLANEOUS,positive,347:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,LAPTOP#PRICE,positive,LAPTOP#GENERAL,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
