sentences,aspects,polarity,sentences,aspects,polarity,sentences,aspects,polarity,sentences/sentence/3/text,sentences/sentence/3/Opinions/Opinion/0/_category,sentences/sentence/3/Opinions/Opinion/0/_polarity,sentences/sentence/3/Opinions/Opinion/1/_category,sentences/sentence/3/Opinions/Opinion/1/_polarity
Being a PC user my whole life....,,,This computer is absolutely AMAZING!!!,LAPTOP#GENERAL,positive,10 plus hours of battery...,BATTERY#OPERATION_PERFORMANCE,positive,super fast processor and really nice graphics card..,CPU#OPERATION_PERFORMANCE,positive,GRAPHICS#GENERAL,positive
the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#GENERAL,positive,i would really recommend to any person out there to get this laptop cause its really worth it.,LAPTOP#GENERAL,positive,and its really cheap and you wont regret buying it.,LAPTOP#PRICE,positive,,,,,
"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",,,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#PORTABILITY,positive,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#DESIGN_FEATURES,positive,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#MISCELLANEOUS,positive,LAPTOP#QUALITY,positive
Oh my goodness-I am not a happy camper.,LAPTOP#GENERAL,negative,My HP is very heavy.,LAPTOP#DESIGN_FEATURES,negative,Not easy to carry.,LAPTOP#PORTABILITY,negative,The battery has never worked well.,BATTERY#QUALITY,negative,BATTERY#OPERATION_PERFORMANCE,negative
"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",LAPTOP#GENERAL,positive,The netbook is easier for me to take to bed and carry around with me.,LAPTOP#PORTABILITY,positive,"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#USABILITY,neutral,I have not have any problems.,LAPTOP#GENERAL,positive,,
"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",LAPTOP#GENERAL,positive,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,LAPTOP#QUALITY,positive,Its still going.,LAPTOP#QUALITY,positive,It is in the best condition and has a really high quality.,LAPTOP#QUALITY,positive,,
"Waited on getting this computer, but it has been a great change.",LAPTOP#GENERAL,positive,Ease of use is just one of the benefits I love about my Mac.,LAPTOP#USABILITY,positive,,,,,,,,
This laptop meets every expectation and Windows 7 is great!,LAPTOP#GENERAL,positive,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#OPERATION_PERFORMANCE,positive,It's even easy to hook up to other wireless networks.,LAPTOP#CONNECTIVITY,positive,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,BATTERY#OPERATION_PERFORMANCE,neutral,,
"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#GENERAL,positive,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",DISPLAY#QUALITY,negative,"Yes, I have it on the highest available setting.",,,,,,,
I bought it for really cheap also and it's AMAZING.,LAPTOP#PRICE,positive,Easy to start up and does not overheat as much as other laptops.,,,Recommended to people as their first laptop.,LAPTOP#MISCELLANEOUS,positive,,,,,
"Plain and simple, it(laptop) runs great and loads fast.",LAPTOP#OPERATION_PERFORMANCE,positive,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#PORTABILITY,positive,Love that it doesn't take up space like a regular computer.,,,,,,,
I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#DESIGN_FEATURES,positive,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OS#USABILITY,neutral,The unibody design is edgy and durable.,LAPTOP#DESIGN_FEATURES,positive,The LED backlit display makes my pictures pop so much more.,DISPLAY#DESIGN_FEATURES,positive,,
"Great product, very easy to use and great graphics.",LAPTOP#GENERAL,positive,"One drawback, I wish the keys were backlit.",KEYBOARD#DESIGN_FEATURES,negative,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#GENERAL,positive,,,,,
It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#DESIGN_FEATURES,positive,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#DESIGN_FEATURES,neutral,I'm very happy with this machine!,LAPTOP#GENERAL,positive,,,,,
"I love the size, keyboard, the functions.",LAPTOP#DESIGN_FEATURES,positive,I don't really have a complaint.,LAPTOP#GENERAL,positive,"It is easy to use, good quality and good price.",LAPTOP#USABILITY,positive,Perfect trifecta!,LAPTOP#GENERAL,positive,,
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,SOFTWARE#GENERAL,negative,,,,,,,,,,,
This is my first Dell I heard their customer service was lacking and that they were working on improving it!,SUPPORT#QUALITY,neutral,I purchased this laptop 9 months ago!,,,The DVD burner broke after burning 3 DVD'd during that time!,OPTICAL_DRIVES#QUALITY,negative,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,SUPPORT#QUALITY,negative,,
"So far, a great product.",LAPTOP#GENERAL,positive,"High price tag, however.",LAPTOP#PRICE,negative,Still trying to learn how to use it.,LAPTOP#USABILITY,neutral,,,,,
it is the worst computer dell ever made.,LAPTOP#GENERAL,negative,it is hard to fix and makes it a hassle to own one.,LAPTOP#QUALITY,negative,breaks easily.,LAPTOP#QUALITY,negative,only good thing is the graphics quality.,GRAPHICS#QUALITY,positive,,
